UE ID,Position,Tile,Active,Inner Region,BS ID,Moving,Generator,Cluster
79,"(6.850375741048984, 4.7331285512252474)",28851,True,False,752290357.0,True,,1
80,"(12.303924913742998, 3.3570163349441393)",165222,True,True,752292071.0,True,,4
81,"(12.321605731326596, 3.3590403437647427)",70643,True,False,752292018.0,True,,4
82,"(6.847095240923634, 4.728612270280874)",7301,True,False,752291146.0,True,,1
83,"(6.842185010394286, 4.7471993562765915)",104457,True,False,752290122.0,True,,1
84,"(6.8422090402418565, 4.748986631257337)",109149,True,False,752290444.0,True,,1
85,"(12.307579669613384, 3.355013129573556)",117574,True,True,752292018.0,True,,4
86,"(14.907206818565108, 7.807258221090248)",177299,True,False,752290363.0,True,,2
87,"(6.85662520766281, 4.743277040329786)",77888,True,True,752292052.0,True,,1
88,"(12.307737960381013, 3.3629731331345973)",79502,True,False,752292071.0,True,,4
89,"(6.835846427318222, 4.737588655459937)",15346,True,False,752292560.0,True,,1
90,"(5.859808649902455, 2.2544627549470975)",172766,True,False,752290131.0,True,,0
91,"(5.879051635787147, 2.2551634814739008)",142827,True,False,752291213.0,True,,0
92,"(6.832458409286387, 4.74316487335832)",88068,True,False,752292130.0,True,,1
93,"(12.320141810577343, 3.341690027249969)",177392,True,False,752291450.0,True,,4
94,"(12.30794234901047, 3.3558933835031115)",135173,True,False,752290275.0,True,,4
95,"(6.852760537934023, 4.7438452272353775)",118092,True,False,752291499.0,True,,1
96,"(5.4702689563488835, 7.223319968690527)",128651,True,False,752291417.0,True,,3
97,"(5.8688162325094595, 2.2416236076420115)",160054,True,False,752290031.0,True,,0
98,"(5.880958721993818, 2.2454387254563692)",166009,True,False,752292421.0,True,,0
99,"(5.458321372457162, 7.214329528419365)",72903,True,False,752290456.0,True,,3
100,"(5.468523099306559, 7.213670384387239)",35612,True,False,752290494.0,True,,3
101,"(5.458224726119475, 7.209172613472867)",39620,True,False,752291214.0,True,,3
102,"(14.915928228673387, 7.80077473750325)",160817,True,False,752291178.0,True,,2
103,"(5.863796541802708, 2.258939183952776)",219857,True,False,752292066.0,True,,0
104,"(6.851873481139264, 4.748094323444199)",103120,True,False,752291573.0,True,,1
105,"(5.4770441382311805, 7.229790368122414)",42864,True,False,752292277.0,True,,3
106,"(12.315183305664313, 3.3577143227051396)",190379,True,False,752291392.0,True,,4
107,"(5.882719864358481, 2.2550437737811535)",209602,True,False,752290328.0,True,,0
108,"(5.873809628115998, 2.2465255390430614)",221818,True,False,752290328.0,True,,0
109,"(6.8534966398151145, 4.73476331983724)",152628,True,False,752291171.0,True,,1
110,"(14.895567805213348, 7.8062502628601225)",216764,True,True,752291269.0,True,,2
111,"(6.854003038480188, 4.744449075223889)",3907,True,True,752291146.0,True,,1
112,"(12.310286263233465, 3.355754819471045)",27148,True,True,752292714.0,True,,4
113,"(6.83946446432454, 4.7527790931372085)",23447,True,False,752290052.0,True,,1
114,"(14.916148691388766, 7.806956693318877)",179264,True,False,752290386.0,True,,2
115,"(12.307690547461084, 3.3528996376338935)",17630,True,False,752290158.0,True,,4
116,"(6.8559758852529695, 4.742457749842462)",124891,True,False,752290402.0,True,,1
117,"(12.327211533049072, 3.3550124368571423)",118962,True,True,752292071.0,True,,4
118,"(5.460806274073098, 7.213237248074377)",78361,True,False,752290512.0,True,,3
119,"(5.858699702157512, 2.2433347139581024)",219229,True,False,752291291.0,True,,0
120,"(6.853301534869667, 4.734634087480298)",43097,True,False,752292008.0,True,,1
121,"(6.84262225032495, 4.732696019280898)",88826,True,False,752291033.0,True,,1
122,"(14.912229161941847, 7.800095261071486)",194823,True,False,752290018.0,True,,2
123,"(5.473306676630614, 7.230862493544402)",7719,True,False,752291970.0,True,,3
124,"(12.304516383697946, 3.3640259344932835)",169265,True,False,752291450.0,True,,4
125,"(5.872800126804298, 2.242322678857936)",205522,True,False,752290328.0,True,,0
126,"(14.894557712619875, 7.793748593136014)",234975,True,False,752290280.0,True,,2
